Experimento,ID_Cliente,Accuracy_Local,Recall_Local
FedMedian | Naive Bayes | Noising,2,0.9981582399838531,0.0
FedMedian | Naive Bayes | Noising,3,0.9982591583409022,0.0
FedMedian | Naive Bayes | Clipping+Noising,1,0.9978302553234434,0.0
FedMedian | Naive Bayes | Clipping+Noising,2,0.9981582399838531,0.0
FedMedian | Naive Bayes | Clipping+Noising,3,0.9982591583409022,0.0
FedMedian | Neural Network MLP | Sin Privacidad,1,0.9987132909476234,0.5
FedMedian | Neural Network MLP | Sin Privacidad,2,0.9985366838227874,0.3972602739726027
FedMedian | Neural Network MLP | Sin Privacidad,3,0.9988898980724594,0.463768115942029
FedMedian | Neural Network MLP | Clipping,1,0.9978302553234434,0.0
FedMedian | Neural Network MLP | Clipping,2,0.9981582399838531,0.0
FedMedian | Neural Network MLP | Clipping,3,0.9982591583409022,0.0
FedMedian | Neural Network MLP | Noising,1,0.9986628317690988,0.47674418604651164
FedMedian | Neural Network MLP | Noising,2,0.998511454233525,0.3835616438356164
FedMedian | Neural Network MLP | Noising,3,0.9988142093046726,0.42028985507246375
FedMedian | Neural Network MLP | Clipping+Noising,1,0.9978302553234434,0.0
FedMedian | Neural Network MLP | Clipping+Noising,2,0.9981582399838531,0.0
FedMedian | Neural Network MLP | Clipping+Noising,3,0.9982591583409022,0.0
